requirement_uid,document_id,agency,requirement_name,sample_category,primary_action,confidence,reasoning,evidence,is_missing_info,domain_level,cost_driver,responsibility_risk
ccrs_ai_platform:SFR-002,ccrs_ai_platform,신용회복위원회,문서 파싱·청킹 및 전처리 기능,문서표본_ccrs_ai_platform_기능 요구사항,견적반영,높음,"HWP 문서 파싱 및 품질 확보를 위해 상용 솔루션을 도입할 경우 해당 비용을 제안가에 반영하도록 명시되어 있으며, VLM/OCR 적용 및 청크 검수/승인 UI 개발 등 명확히 견적 산정에 포함해야 할 수량 및 솔루션 요소가 포함되어 있습니다.","※ HWP 파싱에 상용 솔루션 도입 시 해당 비용을 제안가에 포함. 오픈소스 활용 시 BMT 결과 제출 필요 | (OCR 처리) 스캔 PDF, 문서 내 삽입 이미지 등에 VLM/OCR을 적용하여 텍스트 추출 | 청크 데이터를 관리자가 검수할 수 있는 웹 기반 UI 제공",True,중간,HWP 파싱 상용 솔루션 라이선스 비용 및 OCR/VLM 추출 엔진 연동/도입 비용,오픈소스 파싱 활용 시 BMT 통과 및 변환 품질 보장에 대한 제안사 부담
genai_incident_response:SFR-001,genai_incident_response,,메인 파운데이션 모델 도입 – 모델 요건,문서표본_genai_incident_response_기능 요구사항,계약·질의검토,높음,"메인 파운데이션 모델(120B 이상) 1개와 특화 모델(20B급 이상) 6개 이상의 오케스트레이션 구축이 명시되어 있으나, 모델 규모 및 세부 스펙이 수행 시점 발주처(KISA)와의 협의 후 최종 확정되며, 기술협상 과정에서 6개 항목 평균 80점 이상의 성능 테스트 및 국가 보안 정책에 따른 제한 규정 등 모호함과 수금/검수 리스크가 존재하여 사전 계약·질의 검토가 필요합니다.","단, 모델 규모와 세부 스펙은 사업 수행 시점의 기술 발전 수준, 구축 환경, 성능 검증 결과 등을 종합적으로 고려하여 KISA와 협의 후 최종 확정 | 제안하는 모델의 요건 확인을 위해 기술협상 과정에서 제안 모델에 대한 성능 테스트를 요구할 수 있음 (△정확성 △관련성 △완전성 △정합성 △사실성 △명확성 평균 80점 이상) | 국가 보안 정책상 도입이 제한될 수 있는 모델은 제안 불가",True,높음,120B 메인 모델 및 20B급 6개 특화 모델의 폐쇄망 파인튜닝 및 오케스트레이션 구축에 필요한 고성능 AI 엔지니어링 투입 공수,국가 보안 정책 준수 여부에 따른 모델 사용 제한 및 대체 모델 확보 책임
genai_incident_response:SFR-002,genai_incident_response,,메인 파운데이션 모델 – 모델 테일러링,문서표본_genai_incident_response_기능 요구사항,통상수용,높음,"본 요구사항은 메인 파운데이션 모델의 시스템 프롬프트 최적화, KISA 보유 데이터를 활용한 도메인 적합성 검증 및 최종 응답 생성 기능 검증을 규정하고 있습니다. 이는 생성형 AI 구축 사업의 일반적인 모델 테일러링 및 프롬프트 엔지니어링 과업 범위에 해당하여 표준적으로 수용 가능합니다. 다만 메인 파운데이션 모델의 구체적 종류 및 API 비용 부담 주체에 대해 사전 확인이 권장됩니다.","침해대응 도메인 특화 시스템 프롬프트 설계 및 반복 최적화 | 악성코드 분석보고서, 침해사고 이력, 취약점 정보, 위협 인텔리전스(TI) 등 KISA 보유 도메인 특화 데이터를 활용하여 적합성을 검증 | 오케스트레이터가 통합한 특화 모델(sLLM) 결과를 입력받아 최종 응답을 생성하는 기능 검증",True,높음,프롬프트 반복 최적화 공수 및 메인 파운데이션 모델 API/인프라 이용 비용,파운데이션 모델 고유의 생성 오류(환각) 발생 시 요구 품질 달성 책임
incheon_airport_digital_work:SFR-001,incheon_airport_digital_work,인천국제공항공사,AI 공통플랫폼 구현(1),문서표본_incheon_airport_digital_work_기능 요구사항,계약·질의검토,높음,"온프레미스 LLM과 외부망 AI(ChatGPT 등)를 복합 연계하는 고난도 생성형 AI 플랫폼 구축 요구사항입니다. 설문조사 행사 진행 비용을 계약상대자가 부담하도록 명시되어 있으며, 공사 협의에 따라 플랫폼 상세 기능을 추가·조정할 수 있다는 포괄적 조항이 포함되어 있어 사업 범위의 무한 확장 및 비용 추가 위험이 높습니다.","공통 플랫폼의 화면은 내부 선호도 조사 등을 통해 최종 시안이 결정될 수 있도록 3개 이상의 시안을 제출해야하며, 설문조사 행사 진행 관련 비용은 계약상대자가 부담 | 플랫폼 상세 기능은 공사와 협의하여 취지에 맞게 추가, 조정 가능 | 생성형 AI의 경우 Llama 등 내부용(On-premise) AI 서비스와 ChatGPT 등 외부망용 AI를 복합적으로 활용하여 구현",True,중간,"설문조사 행사 비용 및 외부 AI API 이용료, 다양한 정형/비정형 및 실시간 데이터(SAP, 운항정보 등) 파이프라인 구축 비용",외부 AI 활용 시 민감 데이터 유출 위험 제어 및 생성형 AI 환각(Hallucination) 현상에 대한 품질 제어 책임
incheon_airport_digital_work:SFR-002,incheon_airport_digital_work,인천국제공항공사,AI 공통플랫폼 구현(2),문서표본_incheon_airport_digital_work_기능 요구사항,통상수용,높음,"AI 공통 플랫폼 관리를 위한 대시보드, 모니터링, LLM 연결 관리, 권한 제어 및 로그 보관 기능은 표준적인 AI 플랫폼 구축 과업범위에 해당하며 통상적인 SI 개발 절차에 따라 수용 가능합니다.","공통플랫폼을 관리하기 위한 관리자 화면을 구현하여 서비스, LLM 관리, 운영 현황에 대한 통계 자료 등을 제공 | 사용 현황 모니터링 기능 구현 | 과제별 학습 데이터 현황 및 LLM 연결 관리",False,중간,답변 지연 시간 원인 분석 및 대시보드 시각화 모니터링 기능 개발 공수,향후 LLM 기술 고도화 변경 대응을 위한 유연한 설계 적용
kac_ai_work_platform:CUR-001,kac_ai_work_platform,한국공항공사,공사 AI 업무 체계 고도화 컨설팅,문서표본_kac_ai_work_platform_프로젝트 관리·지원 요구사항,계약·질의검토,높음,"본 요구사항은 AI 업무 체계 고도화 컨설팅 및 표준안 수립 외에도 국내·외 AI 서비스 품질 인증 체계 취득과 포괄적인 협의 조건을 포함하고 있습니다. 인증 취득에 따른 직접 비용 발생 가능성 및 구체적인 대상 범위, 취득 실패 시 책임 소재가 불명확하며, '자세한 컨설팅 내용은 공사와 협의 후 진행'이라는 포괄적 문구로 인해 과업 범위 유동성 위험이 커 사전 질의 및 계약 검토가 필요합니다.","구축 AI 서비스 품질 검증을 위한 국내·외 인증 체계 조사 및 취득 | 컨설팅 결과는 공문으로 제출하며, 자세한 컨설팅 내용은 공사와 협의 후 진행",True,중간,국내·외 인증 취득 관련 수수료 및 추가 검증 컨설팅 비용 발생,인증 취득 지연 또는 불발 시 제안사 귀책 여부 판단 기준 불분명
kac_ai_work_platform:AIP-001,kac_ai_work_platform,한국공항공사,폐쇄망 환경 대규모 언어모델(LLM) 선정 및 도입,문서표본_kac_ai_work_platform_인프라·장비 요구사항,견적반영,높음,"폐쇄망 온프레미스 환경에서 운용할 대규모 언어모델(LLM) 4종 이상 제안, 파라미터 크기별(~4B, 4B~40B, 40B~100B, 100B~) 제시, 영구 또는 5년 이상 장기 라이선스 제공 조건이 명시되어 있습니다. 제시된 기준(4종 이상, 64K 컨텍스트, 멀티모달/OCR, 관리 콘솔 등)에 맞춰 솔루션 라이선스 비용 및 구축/PoC 인력 공수를 제안 견적에 직접 반영해야 합니다.","한국어 성능이 공인 벤치마크로 검증된 대규모 언어모델 4종 이상의 제안과 GDPval-AA에서 ELO기준 상위 언어모델 4종 이상을 제안할 것 | 영구 라이선스 또는 최소5년 이상의 장기 사용 라이선스를 제공할 것 | 모델은 파라미터 사이즈별(~4B, 4B~40B, 40B~100B,100B~)로 제시 40B이상 모델은 반드시 추론(Reasoning)기능이 포함될 것",True,중간,100B 이상 및 40B+ Reasoning 모델을 포함한 LLM 4종에 대한 폐쇄망 5년/영구 라이선스 도입 비용,폐쇄망 환경에서의 모델 업데이트 지원 방식 및 보안 유지 책임
kac_ai_work_platform:AIP-002,kac_ai_work_platform,한국공항공사,AI 보안성 및 가드레일 체계,문서표본_kac_ai_work_platform_인프라·장비 요구사항,계약·질의검토,높음,"AI 보안 가드레일 구축, 프롬프트 인젝션 차단, 실시간 이상 탐지, 가드레일 관리 화면 제공 및 SHAP/LIME 기반 XAI(설명가능 AI) 구현 등 기술적 난이도가 높은 요구사항이 포함되어 있습니다. 특히 로그 보관 기간이 '일정 기간 이상'으로 모호하여 인프라 산정이 어렵고, 복잡한 AI 모델에 SHAP/LIME을 적용하는 범위 및 검수 기준이 불명확하여 개발 공수와 성능 지연 리스크가 큽니다. 가드레일 솔루션 도입 여부 및 XAI 적용 세부 범위를 확정하기 위해 발주처 질의가 선행되어야 합니다.","블랙박스 현상이 발생시 설명가능(XAI) 하여야 할 것(SHAP,LIME 등) | 모든 질의·응답 로그를 일정 기간 이상 보관할 것 | 가드레일 정책을 관리자가 직접 추가·수정·배포할 수 있는 관리 화면을 제공할 것",True,중간,"XAI(SHAP, LIME) 기술 구현 및 실시간 프롬프트 인젝션/환각/유해콘텐츠 탐지 가드레일 구축 비용","개인정보 유출, 유해 답변 출력, 프롬프트 인젝션 돌파 등 보안 사고 발생 시 제안사 책임 리스크"
kangwon_land_genai:ECR-001,kangwon_land_genai,강원랜드,인프라 구축(공통),문서표본_kangwon_land_genai_인프라·장비 요구사항,계약·질의검토,높음,"설치 및 테스트 단계에서 발주처 판단으로 중대 보완사항이 있다고 결정될 경우 제안 제품의 무상 교체, 대체, 증설을 요구할 수 있으며 이에 무조건 응하도록 되어 있어 과도한 제안사 리스크가 존재합니다. 또한 랙, 전원 배선, 케이블 포설 등 물리적 공사 및 생성형 AI 인프라 장비 사양이 명확하지 않아 계약 질의 및 기준 명확화 조치가 필수적입니다.","제안되는 제품의 설치 및 테스트 시 속도 저하, 오류, 보안취약점, 기능 미비 등으로 사용에 중대 보완사항이 있는 것으로 판단될 경우 제안 제품을 교체 또는 대체, 증설 등을 요구할 수 있으며 제안사는 이에 응해야 함 | 장비 설치를 위한 물리적 환경 조성(랙, 전원 배선, 케이블 포설 등)에 소요되는 모든 비용은 제안 범위에 포함되어야 함 | 생성형 AI 서비스의 성능 발휘 및 온전한 기능 수행을 위해 요구되는 장비 일체를 설계·구축해야 함",True,중간,테스트 중 성능 저하 판단 시 인프라 무상 증설/교체 비용 및 물리적 포설/전원 공사 추가 비용 발생 위험,발주처의 판단에 따라 제안사 부담으로 인프라 장비 증설 및 교체 의무 발생
kangwon_land_genai:ECR-002,kangwon_land_genai,강원랜드,S/W 구축(공통),문서표본_kangwon_land_genai_인프라·장비 요구사항,계약·질의검토,높음,"본 요구사항은 구축 시스템에 대해 향후 사용자 증가를 고려한 Company License(Site License) 제공을 조건으로 명시하고 있으며, 제안요청서에 명시되지 않은 품목이라도 구축·연동·운영에 필요하다면 일체 제안하고 추가 비용을 청구할 수 없도록 규정하고 있습니다. 사이트 라이선스 적용 범위 및 제안 대상 S/W 범위에 따라 라이선스 비용이 대폭 증가할 위험이 있어 발주처 질의 및 계약 조항 검토가 필요합니다.","구축시스템의 사용자 라이선스는 향후 사용자 증가분을 고려, 안정적 운영을 위해 Company License(Site License)를 제공 | 소프트웨어 구축과 관련된 모든 기술지원, 설치비, 라이선스 비용 등은 본 사업예산에 포함되어야 하며, 추가 비용이 발생하지 않도록 사전에 충분히 검토하고 제시해야 함 | 제안요청서에 명시된 요구 사양 외에도 시스템 구축, 연동, 통합, 운영 등에 필요한 품목이 있는 경우, 관련 일체를 제안하여야 함",True,낮음,Company License(Site License) 발급 비용 및 제3자 기술지원확약서(PAF) 수수료,사전 검토 미비로 인한 추가 라이선스 구매 비용 발생 시 제안사 전액 부담 위험
kangwon_land_genai:ECR-003,kangwon_land_genai,강원랜드,생성형 AI 주요 장비,문서표본_kangwon_land_genai_인프라·장비 요구사항,견적반영,높음,"LLM 서버(H200 SXM 8개 동급 이상 GPU), Usable 40TB SSD 스토리지, 전원 이중화, 랙 및 네트워크 장비 등 인프라의 주요 하드웨어 최소 사양 및 도입 범위가 명확히 명시되어 있어 내역 작성을 통한 제안 견적 산정이 가능합니다.","LLM서버(GPU): H200 SXM(141GB) 8개 동급 이상 | 스토리지: Usable 40TB 이상(SSD), 향후 데이터 증가에 대비하여 동일 컨트롤러 기준 디스크(SSD) 확장이 용이한 구조여야 함 | 생성형 AI 장비는 서버, 스토리지. 네트워크, 서버(통신)랙, 관련 부가장비(모니터, 키보드, 마우스 등), 케이블, 리셉터클 등 일체를 제안하여야 함.",True,중간,H200 SXM 급 고성능 GPU 서버 및 40TB SSD 스토리지 등 고가의 인프라 장비 수급 및 수량,고성능 GPU 장비의 수급 일정 지연 리스크 및 오픈소스 승인 실패 시 대안 제시 책임
