requirement_uid,평가문서,정답,예측,확률차,p_견적반영,p_계약·질의검토,요구사항명,요구사항유형,blockers,cost_basis,build_difficulty,domain_dependency,reasoning,본문
kexim_ai_platform:PER-002,kexim_ai_platform,계약·질의검토,견적반영,0.1101,0.3903,0.2801,성능 최적화,성능,검수·성능기준,없음,보통,보통,목표성능 만족이라는 구체적 달성 기준이 제시되어 있으나 목표치가 명시되지 않아 사전에 달성 가능성 확인이 필요한 성능기준 blocker에 해당한다.추가 장비·인력 투입 근거는 명시되지 않아 원가는 없음으로 본다.,"성능 최적화
- 데이터 집계 시 원천 데이터를 가지고 있는 시스템 부하를 최소화할 수 있도록 성능 최적화
- 운영 장비에 대한 부하테스트 및 성능진단을 실시하고, 대응책을 수립하여 목표성능 만족"
kexim_ai_platform:ECR-001,kexim_ai_platform,계약·질의검토,견적반영,0.1149,0.466,0.3511,문서 중앙 저장소(ECM) 구축,기능,"범위·책임, 검수·성능기준, 기술실현성, 라이선스·공급",복합,높음,높음,"윈도우 탐색기 완전 연동, 기존 DRM/업무시스템(EXIMIIS,계정계) 연계, elastic/semantic search 성능보장, 재구축시 기존 기능·정책 누락 금지 등 기술실현성과 조달·연계 가능성을 사전 확인해야 하는 요소가 다수 결합된 대형 요구사항이다. 범위도 매우 포괄적이라 계약 전 질의가 필요하다.","문서 중앙 저장소(ECM) 구축
- 문서 중앙화 저장 및 관리
- 다양한 포맷의 비정형 데이터를 원본 형태 그대로 통합 저장 및 관리
- 대용량 파일의 안정적인 업로드 다운로드 처리 지원
- 문서 버전 관리, 문서 공유 및 협업 기능 제공
- 사용자 그룹 및 권한 관리
- 문서별 과거 버전으로 롤백 기능 제공
- 문서 저장 오류시를 대비한 일정 간격 자동 저장 및 복구 기능 제공
- 검색 결과 페이지(UI/UX) 포함
- 문서 수명주기, 협업 관리 기능
- 문서 버전, 이력, 접근권한 관리 기능
- 문서 유형, 분류, 속성, 썸네일 관리 기능
- 문서 중복 방지 및 보안 URL 공유 기능
- 문서 보존년한 및 폐기관리 기능
- 문서 현황 및 통계 관리 기능
- ECM 본문(Full-Text) 검색용 Search Engine 지원
- Indexer, 수집기, DB Crawler, 통합 Filter, 관리 도구
- 검색대상 수집 설정 및 검색 데이터 색인 기능
- 검색 결과 품질 극대화를 위한 elastic search 또는 Semantic search 기능 제공(인프라 성능 보장 필요)
- 개인정보 및 금칙어(민감정보) 추출 Module 지원
- 민감정보/개인정보 검출 및 마스킹 처리 연동
- 업무시스템(EXIMIIS, 계정계), 그룹웨어 대응 개발(시스템 생성 및 저장 문서 경로 연동 부분)
- 채널계 AI 모델 학습을 위한 ECM 데이터 연계 체계 마련
- 사용자/부서 조직도, 통합사용자 인증 연동
- 사용자가 PC에 로그인 시, 자동으로 통합문서관리에 로그인되어야 함(SSO)
- 조직개편 등에 따른 문서자료 저장소의 통합/분리/추가/폐합/삭제 처리가 원활하게 처리될 수 있는 운영정책과 관리 기능 제공
- 조직체계에 따른 저장 폴더 일괄생성 기능 제공
- 인사이동 등에 따른 사용자 소속 변경 시 관련 직원 정보를 자동으로 반영 기능 제공
- 임직원 업무 이관 등에 따른 인수인계 기능 제공
- 재구축시 기존 문서관리시스템(ECM)의 기능, 운영정책(폴더체계) 등을 누락하지 않아야 함
- 문서 검색 및 조회 기능
- 문서정보의 메타데이터, 파일명, 제목, 본문, 키워드를 검색하는 기능 제공
- and, or, xor 또는 정규표현식 등 복합 조건의 검색 기능
- 업무정보 본문과 메타데이터에 대한 주제어 검색 기능
- 웹기반 사용자 이용환경 제공
- 저장된 파일, 폴더 목록을 웹브라우저UI에서 확인하고 제공하는 기능
실행하도록 제공
* 기존 문서관리 시스템의 UI/UX 기능 및 디자인 요소를 최대한 반영하여 설계방안을 검토
- 윈도우 탐색기에서도 웹브라우저 환경과 동일하게 열람, 수정, 이력관리 기능 등이 작동되어야 함
- 문서 아이콘 등으로 AI활용문서, 암호화문서 여부 등을 구분 가능
- 윈도우 탐색기내 파일에 마우스 우클릭 시 표시되는 컨텍스트 메뉴에 목표 시스템 기능 추가
- 메타데이터 조회, 이력 조회, AI 대상 문서 관련 결재상신&승인
(권한, 결재권이 있는 직원에 한해 활성화) 메뉴 등)
- 문서 저작 소프트웨어 통제
- 당행 내에서 유통되는 모든 유형의 문서(한글, 워드, 파워포인트, 엑셀 등)를 해당 저작 소프트웨어에서 열거나 저장할 때 통합문서관리시스템의 문서함이 경로로 선택될 수 있어야 함
- 법적요건 준수를 위한 기능 지원
- 개인정보보호법과 기타 네트워크, 문서보안 규정 등, 대내외 법령, 규정, 지침 등을 충족하는 운영정책을 제공
- 다양한 OS를 지원해야 하며, 향후 발생되는 OS 버전업에 대한 지원
- 윈도우 운영체계에 익숙한 당행 사용자의 업무 환경에 이질적이지 않도록 시스템 UI 설계
- 문서는 통합문서관리시스템 내 중앙저장소 뿐만 아니라 개인PC의 로컬저장소에도 관리할 수 있되 그 용량은 중앙에서 제어(Locking)
- ECM 시스템에서 저장･관리되는 문서를 url 형태로 사용자끼리 공유하는 기능을 제공(권한 반영)
- 행내 기존 DRM 시스템 연계
- 그룹웨어 등 내부 시스템에서 생성되는 보고서, 증빙 자료 등이 ECM에 자동으로 이관 및 저장되는 연계 방안 제시
- ECM에 문서 업로드 시 DRM 정책에 따라 자동으로 암호화되어 저장
통지하는 기능 제공
- N2SF 관련 데이터 등급 체계 수립시 문서 저장 관리, 분류 관련 기능 지원"
mfds_drug_ai_review:PER-009,mfds_drug_ai_review,계약·질의검토,견적반영,0.1156,0.4174,0.3017,CPU 사용률,성능,검수·성능기준,장비·인프라,높음,낮음,"최대부하(최근 3년 최대*2) 조건에서도 CPU 평균 사용률 90% 이하를 달성해야 하는 구체적 수치 목표로, 현재 시스템·인프라 환경에서 달성 가능성을 사전 확인해야 하는 blocker에 해당한다. 부하 테스트 환경 구성을 위한 장비·인프라 원가도 추가로 발생한다.","CPU 사용률
- 테스트 기간과 시험운영 기간에 CPU 사용률을 평가하며, 8시~20시 서비스 가용시간 동안의 사용률과 최대 부하(최근 3년 최대 부하 사용량 * 2) 아래에서의 사용률을 측정함
- CPU 평균 사용률은 어느 조건 하에서도 90%를 넘으면 안됨"
kexim_ai_platform:ECR-008,kexim_ai_platform,견적반영,계약·질의검토,0.1158,0.3308,0.4466,"H/W, S/W, N/W 구성",기능,,장비·인프라,높음,보통,"ECM/WEB/DBMS/검색엔진 서버의 운영 이중화 및 DR 구성, 원격지 캐싱을 통한 지방·해외 전송속도 보장, VPN 원격 접속 환경 구축은 기본 개발팀 범위를 넘는 인프라 설계·구축 원가가 필요해 견적반영 대상이다. 구체적 수치 성능목표는 없어 blocker로 보지 않는다.","H/W, S/W, N/W 구성
- ECM 서버(OS 포함) 3식(운영 WAS 이중화, DR WAS) 제공
- 그 외 당행에서 제공하는 그룹웨어 가상화 자원을 제공하는 서버에 대한 설치/연동 및 정상 가동 보장
- ECM WEB 서버 전체(운영 이중화, 개발/테스트/DR), DBMS 서버 전체(운영 이중화, 개발/테스트/DR), 검색엔진 서버 전체(운영 이중화, 개발/테스트/DR)
- 당행 시스템 아키텍처와 호환되는 H/W 구성안을 제시
- 제안된 솔루션 사용에 필요한 클라이언트 최소 사양 및 권장 사양을 제시
- 당행 네트워크 운영정책을 준수
- 지방 및 해외 환경에서도 문서 전송속도 및 보안성을 보장(원격지 캐싱 기능 등 고려)
- 당행 외부에서 VPN 등을 통해 접속 후 문서보관함에 관리 중인 문서에 대해 접근 및 열람, 편집 가능"
kangwon_land_genai:SER-004,kangwon_land_genai,계약·질의검토,견적반영,0.1162,0.3758,0.2595,정보보안 설정,보안,범위·책임,라이선스,보통,낮음,"대부분 표준 계정·서버 보안설정으로 통상 수행 가능하나, '기타 발주기관에서 요구하는 서버 보안설정 적용'이라는 열린 범위 조항이 있어 사전 확인이 필요하다. 2-Factor 인증 추가 적용 요구 시 별도 인증솔루션 라이선스 비용이 발생할 수 있다.","정보보안 설정
ㅇ 본 사업을 통해 도입되는 모든 서버 등 장비는 발주기관에서 요구하는 다음의 보안설정을 적용 한다.
- 기본 관리자 계정(admin, administrator 등) 및 비밀번호 강제 변경
- 불필요한 계정 삭제 및 서비스(FTP, TELNET, SMB 등) 중지
- 암호화된 원격관리서비스(RDP, SSH 등) 사용 및 기본 서비스 포트 변경
- 인가된 관리자만 원격관리서비스 접근 가능하도록 IP 접근통제 관리 방안을 적용하고, 발주기관 요청 시 비밀번호 인증 외 인증수단을 추가 적용(2-Factor) 하여야 함
- 사용자권한에 따른 공유자원에 대한 접근제어 및 관리
- 서버 패스워드의 복잡도 설정, 길이 및 사용주기 제한
- 기타 발주기관에서 요구하는 서버 보안설정 적용
ㅇ 사용자 계정 등의 보안설정 적용
- 비밀번호 설정 시 정책적용(비밀번호는 숫자/문자/특수문자 등 포함 9자리 이상 설정, 비밀번호는 사용자 계정과 동일한 비밀번호 사용 금지, 비밀번호는 동일단어 또는 숫자를 반복하여 사용 금지 등)
- 비밀번호는 최소 분기 1회 변경할 수 있도록 비밀번호 만료기한(설정 기능 포함) 적용하고 만료일 이전에 변경 알림
- 비밀번호 5회 이상 실패 시 계정이 자동으로 잠기도록 적용
- 사용자 계정과 관리자 계정을 분리하여 구성해야 하며, 계정별로 시스템 구성 화면 및 권한을 변경할 수 있어야 한다.
- 계정은 사용자 별로 고유하게 발급하여야 하고, 타인과 계정을 공유하여 사용하지 못하도록 계정의 동시접속을 제한하여야 함
- 로그인 시 접속IP, 시간을 포함하여 최종 접속기록을 화면에 표시하여야 하고 그 내역을 저장하여야 함
- 시스템 접속 후 일정시간 동안 아무런 입력이 없을 경우 자동으로 세션이 종료되도록 적용하여야 함
- 접근권한은 사용자/부서/업무별 차등하여 최소한의 권한만 부여 가능 하도록 구현하여야 함
- 정보시스템 접근에 대한 책임 추적성 확보를 위한 기록을 1년 이상 보관(개인정보처리시스템의 경우 2년 이상)"
ccrs_ai_platform:INR-002,ccrs_ai_platform,견적반영,계약·질의검토,0.1177,0.2887,0.4064,언어모델 표준 인터페이스,인터페이스,,고급·전문인력,보통,낮음,"모델 추상화 레이어 설계, OpenAI API 호환, 서비스-모델 매핑 관리화면 구성은 아키텍처 설계 역량이 필요한 작업으로 기본 수행팀 범위를 다소 넘어선다. 구체적 수치 목표나 무제한 재작업 조건은 없어 blocker는 아니며, 고급 아키텍트 인력 투입이 필요해 견적반영이 타당하다.”","언어모델 표준 인터페이스
- [모델 추상화 레이어]
- 시스템은 상위 서비스(Agent, RAG 등)와 하위 언어모델 간 결합도를 최소화하는 추상화 레이어를 제공해야 한다.
- 모델 교체 또는 업그레이드 시 상위 서비스의 코드 수정 없이 설정 변경만으로 전환이 가능해야 한다.
- [표준 API 호환]
- 모델 연동 API는 OpenAI API 호환 형식을 지원해야 한다.
- 향후 정부 표준 모델 API 규격 제정 시 해당 규격으로 전환이 용이한 구조여야 한다.
- API 버전 관리를 통해 하위 호환성을 보장해야 한다.
- [서비스-모델 매핑 구성]
- 각 AI 서비스(Agent)는 독립된 언어모델 인스턴스에 연결되며, 서비스별 모델 할당은 설정을 통해 관리되어야 한다.
- 서비스-모델 매핑 구성은 코드 변경 없이 설정 파일 또는 관리자 화면을 통해 변경 가능해야 한다."
mfds_drug_ai_review:SFR-003,mfds_drug_ai_review,견적반영,계약·질의검토,0.118,0.2775,0.3954,대국민 AI 상담 서비스,기능,,고급·전문인력,높음,높음,"RAG·지식그래프를 활용한 환각 최소화 방안 설계 및 민원유형 추천·규정기반 답변은 고급 AI 전문인력 투입이 필요한 구축 난이도가 높은 기능이나, 수치 목표나 무제한 재작업 조건은 없어 blocker는 아니다. 의약품 규정·민원 도메인 지식 의존도가 높다.","대국민 AI 상담 서비스
- 생성형 AI(LLM) 기반의 상담 서비스 기능 구축
- 대화형 응답 서비스를 통해 사용자 질문의 의도를 파악하여 답변 및 출처를 제공
- 민원 신청 도움을 위해 민원유형을 추천하고 신청절차를 가이드 하는 기능 개발
- 답변에 대한 사용자 만족도를 평가하는 기능 개발
- 관련 규정/가이드에 따라 답변을 제공하며, 답변이 정확하지 않을 시 추천 답변을 제공
- 대화 컨텍스트(직전·과거 대화에 대한 맥락 이해) 기능 제공
- 환각(할루시네이션) 현상을 최소화 할 수 있는 방안(RAG 및 지식그래프 등)을 발주기관에 제시하여 협의 후 기능 개발"
ccrs_ai_platform:SER-004,ccrs_ai_platform,계약·질의검토,견적반영,0.1188,0.4394,0.3206,사용자 데이터 보관•보호 및 활용 범위 통제,보안,범위·책임,없음,보통,보통,보안 볼트 TTL 보관기간이 '기술협상 시 확정'으로 명시되어 계약 전 범위가 열려 있어 사전 확인이 필요하다. 나머지 보관·삭제·마스킹·반출통제 기능은 기본 수행팀 범위의 통상적 데이터 정책 구현으로 추가 원가는 없다.,"사용자 데이터 보관•보호 및 활용 범위 통제
- [보관 기간 및 삭제 정책]
- 사용자 데이터(피드백, 대화 이력) 유형별 보관 기간을 관리자가 설정할 수 있어야 한다. 피드백 기본 1년, 대화 이력 기본 90일로 한다.
- 보관 기간 경과 후 자동 삭제 또는 익명화 후 아카이빙을 선택 적용할 수 있어야 한다.
- 사용자 또는 관리자의 삭제 요청 시 즉시 삭제 또는 유예 삭제(기본 30일) 정책을 적용하고, 처리 이력을 기록해야 한다.
- AI 추론 과정 로그(질의·응답·검색 문서·프롬프트 등)의 보존 기간은 SER-003의 감사 로그 보관 기준(AI 판단 감사 최소 5년)을 따르며, 본 항목의 대화 이력 보관 기간(기본 90일)과는 별도로 관리한다.
- SFR-011에서 구현한 보안 볼트(마스킹 전 원문 암호화 저장소)의 TTL 기반 보관 기간은 본 항목의 삭제 정책과 정합성을 유지하여야 하며, 구체적 기간은 기술협상 시 확정한다.
- [외부 반출 통제 및 접근 권한]
- 사용자 데이터 외부 반출 시 관리자 승인을 필수로 적용하고, 반출 데이터의 마스킹/가명 상태를 유지해야 한다. 반출 이력(반출자, 승인자, 범위, 파일 해시값)을 기록해야 한다.
- 사용자는 자신의 대화 이력만 열람·삭제할 수 있으며, 관리자의 개별 대화 열람은 감사 목적에 한하여 허용해야 한다.
- 개인정보 마스킹 처리는 정책 기준은 SER-002 및 SER-009를 따르고, AI 서비스 계층에서의 실시간 마스킹 적용은 SFR-011의 PII 마스킹 기능을 통해 수행한다."
kexim_ai_platform:SEC-008,kexim_ai_platform,견적반영,계약·질의검토,0.1201,0.3543,0.4745,AI 가드레일 구축,보안,,고급·전문인력,높음,낮음,"프롬프트 인젝션 방어, 출력 마스킹, 이상행위 탐지, 레드팀 테스트 등은 보안 전문인력이 필요한 고급 기능으로 기본 수행팀 범위를 넘는다. 무제한 재작업이나 불확실한 수치 목표는 없어 blocker는 없다.'","AI 가드레일 구축
- AI 가드레일을 제공할 AI 플랫폼 내 탑재하며 AI 플랫폼 전체(업무지원망 이중화, 채널계 이중화 및 개발망)에 구동되어야 함
- [프롬프트 인젝션 방지] 사용자 입력값에 포함된 악의적 명령어 삽입 시도를 탐지·차단하는 입력 필터링 메커니즘을 구현하여야 하며, 시스템 프롬프트 노출 및 역할 탈취(Jailbreak) 공격에 대한 방어 기능 포함
- [입·출력 콘텐츠 필터링] 유해 콘텐츠, 개인정보, 기밀 데이터가 AI 응답에 포함되지 않도록 출력값에 대한 자동 검열 및 마스킹 처리 기능 제공
- [이상 행위 탐지 및 모니터링] 비정상적인 쿼리 패턴, 반복적 우회 시도, 과도한 요청(Rate Abuse) 등을 실시간으로 탐지하고 관리자에게 경보를 발령하는 모니터링 체계 운영
- [응답 범위 제한 및 접근 통제] AI 모델의 응답 범위를 업무 목적에 한정하는 토픽 제한(Topic Restriction) 정책을 적용하고, 사용자 권한에 따른 기능 접근 통제 시행
- [감사 로그 및 추적성 확보] 모든 입·출력 이력을 보존하여 보안 사고 발생 시 원인 추적 및 감사가 가능하도록 로그 관리 체계 구축
- 가드레일 관련 레드팀 테스트 수행 등 보안성 검증 방안 마련"
genai_incident_response:TER-001,genai_incident_response,계약·질의검토,견적반영,0.1212,0.4572,0.336,파운데이션 모델 성능 평가 및 테스트,테스트,검수·성능기준,복합,높음,높음,"오케스트레이터 포함 복합 멀티스텝 분석 시 30초 이내 최종 결과 반환이라는 구체적 응답속도 수치 목표가 있어 달성 가능성을 사전 확인해야 하는 blocker다. Judge 모델 자동채점 도구 개발과 6종 전문모델 6,000건 테스트셋 구축은 고급 인력·도메인 전문성이 필요해 견적에도 반영되어야 한다.","파운데이션 모델 성능 평가 및 테스트
- 모델 성능 평가 도구 개발
- 침해대응 실무 시나리오 기반 테스트셋 입력 및 결과 수집 기능 구현
- 8개 정량 평가지표 기반 Judge 모델 자동 채점 및 점수 산출 기능 구현
※ △정확성 △관련성 △완전성 △정합성 △사실성 △명확성 △출처 명시도 △응답속도(Latency)
- 모델 간 성능 비교·이력 관리 기능 구현
- 웹 UI 기반 성능 평가 실행·결과 조회 기능 제공
- 폐쇄망 환경 내 독립 구동 지원
- 침해대응 도메인 지식 특화 테스트셋 구축
- 6종 전문모델(sLLM)별 실무 시나리오 기반 테스트셋 구축
(모델별 1,000건(SET) 이상, 총 6,000건(SET) 이상)
※ 사고조회·로그분석·악성코드 분석·디지털포렌식·위협 인텔리전스·보고서 생성
- 구축된 테스트셋 기반 전문모델별 도메인 적합성 및 응답 품질 검증
- 응답 속도 요건 및 지연 대응
- 오케스트레이터 포함 복합 멀티스텝 분석 시 30초 이내 최종 결과 반환
- 응답 시간 초과 시 스트리밍 방식 또는 진행 상태 피드백 제공"
koen_ai_infrastructure:CON-002,koen_ai_infrastructure,계약·질의검토,견적반영,0.1258,0.4036,0.2778,MCP 기반 AI 연계 표준 정의,컨설팅,기술실현성,없음,보통,보통,"MCP 기반 연계 표준·인터페이스 구조 정의는 통상 컨설팅 범위이나, 향후 신규 AI 서비스에 동일 표준 적용 가능 여부는 실제 구현 전 기술 실현성 확인이 필요해 blocker로 본다. 실제 구축·성능 책임은 없어 별도 원가는 발생하지 않는다.","MCP 기반 AI 연계 표준 정의
- MCP 기반 AI 서비스 연계 구조 정의
- 데이터 및 기능 호출 방식 정의
- AI Agent 와 업무 시스템 간 인터페이스 구조 설계
- 향후 신규 AI 서비스 도입 시 동일한 표준 적용가능 기준 마련"
ccrs_ai_platform:SFR-030,ccrs_ai_platform,견적반영,계약·질의검토,0.1294,0.3244,0.4539,"시각화 및 실무연계, Web UI 기반 공통 운영",기능,,고급·전문인력,높음,보통,"SHAP 기반 설명가능AI 실시간 제공, 노코드 운영관리 UI, 역할기반 권한·감사로그 등 복합 플랫폼 기능은 기본 수행팀 범위를 넘는 고급 인력 투입이 필요하다. 구체적 수치 목표나 무제한 조건은 없어 blocker는 아니다.","시각화 및 실무연계, Web UI 기반 공통 운영
- [SHAP 기반 시각화 및 상담 연계]
- 시스템은 고객별 예측 결과 및 위험도 변화를 시계열·분포 차트 등으로 시각화하는 '고객 여정 상세 분석 대시보드'를 제공해야 한다.
- 시스템은 개별 고객 예측에 대해 SHAP 등 설명 가능 AI 기법을 활용한 주요 기여 요인(예: ""재산 대비 채무 비중 높음"")을 계산하고, 상담사 화면에 텍스트 및 바 차트 형태로 실시간 제공할 수 있어야 한다.
- 시스템은 모델별·등급별 요약 현황(위험도 분포, 주요 기여 피처 등)을 시각화하여, 경험 중심 판단에서 데이터 기반 의사결정(DDD)으로의 전환을 지원하는 요약 화면을 제공해야 한다.
- 모든 분석 대시보드의 차트와 테이블은 별도 개발 없이 기간, 모델, 등급 등 조회 조건을 필터로 변경하여 재조회할 수 있어야 한다.
- [노코드 운영 관리 공통 요건]
- 시스템은 모델 성능, 드리프트, 배치 이상 탐지 등과 관련된 임계값, 배치 스케줄, 알림 수신자 설정을 UI 기반으로 관리할 수 있어야 하며, 코드 수정 없이 변경할 수 있어야 한다.
- 시스템은 관리자 권한을 관리자, 운영 담당자, 모델 개발자 등 역할(Role) 단위로 구성하고, UI에서 역할별 권한을 설정·변경할 수 있어야 한다.
- 시스템은 주요 관리 행위(임계값 변경, 배포 승인, 롤백, 수동 재실행 등)를 사용자, 일시, 변경 내용 기준으로 감사 로그에 자동 기록하고, 이력을 조회할 수 있어야 한다.
- 대시보드는 별도 클라이언트 설치 없이 웹 브라우저만으로 접근 가능해야 하며, 내부망 환경에서도 동작할 수 있어야 한다."
kexim_ai_platform:PMR-021,kexim_ai_platform,견적반영,계약·질의검토,0.1305,0.2708,0.4013,사업에 필요한 공간 및 장비 준비,프로젝트관리,,장비·인프라,낮음,낮음,"PC 본체 외 사무환경·장비 및 SW 라이선스 일체를 제안사가 부담하는 것으로 범위가 명확히 특정되어 있어 blocker가 아니며, 장비·라이선스 원가가 명시적으로 발생하므로 견적반영 대상이다.","사업에 필요한 공간 및 장비 준비
- 사업 수행 인력이 사용할 PC 본체만 당행에서 제공하는 것을 원칙으로 하며 그 밖의 본 사업 추진에 필요한 장비(H/W, S/W 등) 및 사무환경 (모니터, 프린터, 복사기, 스캐너, 키보드, 마우스, KVM스위치, 사무용 가구, 사무용품, 기타 사무기기 등)을 제안사가 직접 준비
- 사업 수행기간동안 필요한 SW 라이선스(OS, 한글, MS오피스 등 OA 라이선스 포함) 및 제반 비용은 수행업체가 부담"
incheon_airport_digital_work:SFR-013,incheon_airport_digital_work,계약·질의검토,견적반영,0.1344,0.3822,0.2478,(과제 10) AI 국회관리,기능,"기술실현성, 라이선스·공급",복합,높음,보통,RPA로 외부 의정자료전자유통시스템에 공인인증서 로그인 후 자동 업로드·다운로드하는 것은 외부 시스템 정책·기술적 허용 여부를 사전 확인해야 하는 기술실현성·라이선스 이슈다. 확인 후에도 RPA 도구와 AI 분류·생성 기능 개발에 전문인력·라이선스 원가가 추가로 필요하다.,"(과제 10) AI 국회관리
- 현재 공사에서 운영 중인 국회업무 시스템을 참고하여 AI를 활용한 新 국회업무 시스템 구축
- 국회 의정자료전자유통시스템 내 질의 발생 시 RPA를 활용하여 질의서 다운로드 및 新국회관리 시스템 업로드(공인인증서 로그인)
- 시스템에 업로드 된 질의서에 대한 답변부서 추천
- 담당자 답변서 작성 및 문서 상신(전자 결재)
- 결재 완료 답변서를 RPA를 활용하여 의정자료전자유통시스템에 업로드(공인인증서 로그인)
- 주요 기능 중 질의서 답변부서 지정, 질의서 초안 작성, 통계 데이터 제공에 대해 AI 기반 추천 기능 제공
- 기존 질의서와 배정부서, 업무분장표, 답변서 등을 활용하여, 신규 질의서 발생 시 적합한 답변부서 TOP 3 추천
- 질의에 대해 공사 내부 데이터, 전자문서 등을 학습하여 답변서 초안을 작성하며, 작성 결과는 한글 파일로 제공
- 질의서 등 AI 기반 분석으로 국회업무 수행을 위한 통계 데이터 제공"
defense_intelligent_platform:ECR-023,defense_intelligent_platform,계약·질의검토,견적반영,0.135,0.4524,0.3174,지능형 클라우드 네이티브 보안환경 구축 설계,시스템장비구성,"라이선스·공급, 기술실현성",복합,높음,보통,클라우드 인프라 제공기관의 API 지원 여부가 불확실하고 미지원 시 협의로 조정한다는 조건은 조달·연동 가능성이 불명확한 라이선스·공급 blocker다. 또한 클라우드 네이티브 보안도구를 국방 폐쇄망·On-Premise 환경에서 완전 구현 가능한지 기술실현성 확인이 선행되어야 한다. 확정 후 CNAPP류 라이선스와 보안 전문인력 투입 원가도 발생한다.,"지능형 클라우드 네이티브 보안환경 구축 설계
- 클라우드 보안 포털 통합 구성 및 관리
- 클라우드 보안 관리를 위한 대규모 웹 포털 및 빅데이터 수집에 필요한 기본 플랫폼 구축
- 클라우드 보안 포털은 그룹 관리 및 사용자 역할 기반 권한 관리 가능
- 지능형 클라우드 네이티브 보안환경 구축을 위해 다음의 핵심기술을 구현
- 클라우드 자산 식별 및 시각화
- 컴플라이언스 및 취약점 진단
- 클라우드 구성 오류 점검 및 모니터링
- 계정 및 권한 시각화
- 최소 권한 관리
- 위험도 분석 및 Insight 제공
- Kubernetes 보안 점검
- 컨테이너 이미지 및 런타임 보안
- 감사 로그 및 보고서
- 보안 이벤트 관제 및 연계
- 기타
- 상기의 기능을 지원할 수 있도록 클라우드 인프라 서비스 제공 기관은 API 를 제공해야 하고, 만일 지원하지 못할 경우 수요기관과 협의하여 조정할 수 있음
- IaaS, PaaS, Kubernetes, 컨테이너 플랫폼, 로그/이벤트 수집체계 및 보안관제체계와 연동 가능한 구조로 구성하여야 함
- 국방 내부망 또는 폐쇄망 환경에 설치·운영 가능한 On-Premise 구성을 지원하여야 함"
mfds_drug_ai_review:DAR-007,mfds_drug_ai_review,견적반영,계약·질의검토,0.1353,0.2667,0.4021,RAG 구축,데이터,,고급·전문인력,높음,높음,"의약품 특화 임베딩 모델 적용, 대용량·다국어 문서 처리, Recall 점수 산출은 구체적 수치목표 강제가 아닌 결과 보고 수준이라 blocker는 아니나 표준 RAG 범위를 넘는 전문인력 투입이 필요해 견적반영 대상이다.","RAG 구축
- 유사도 기반 검색을 위한 RAG 구축
- 의약품 용어에 특화된 임베딩 모델을 적용하여 텍스트에 대한 벡터DB 구성
- 검색 응답속도 및 결과물의 성능강화를 위한 방안 마련 및 수행
- 대용량 문서의 원활한 처리 성능 제공
- Top-K(예측한 결과 중 상위 K개 선택 방식) 검색 시 정확도(Recall) 점수 및 근거를 발주기관에 제시
<주요 RAG 데이터셋>
순번 | 데이터셋명 | 상세설명
1 | 의약품 허가·심사 결과 정보 | 의약품통합정보시스템의 품목, 업체정보, 각종 대장 정보 등 데이터셋
2 | 허가·심사 검토 보고서 | 의약품 허가·심사가 완료된 검토 보고서 데이터셋
3 | 대한민국약전 | 통칙, 제제총칙, 의약품각조 제1부/제2부, 일반시험법, 일반정보의 한글/영문 데이터셋
4 | 의약품 관련 법령 | 의약품 관련 한글/영문 법령(법령, 행정규칙, 별표 등) 데이터셋
5 | 의약품 용어사전 | 국제의약용어(MedDRa), 의약품 관련 용어 데이터셋
6 | 지침서/안내서 | 국내 의약품 관련 공무원지침서/민원인안내서 데이터셋
7 | 해외 수집자료 | 해외약전(USP, EP, JP 등), 해외 허가 품목정보(FDA, EMA, PMDA 등), 가이드라인(WHO, ICH 등) 한글/영문 데이터셋
8 | 검토기준 표준화 | 민원신청 제출자료(CTD 등)에 대한 내용의 요건검증을 위한 데이터셋
9 | 민원 질의응답 정보 | 민원에 대한 질의응답(QnA, FAQ, 민원 등) 정보"
genai_incident_response:TER-003,genai_incident_response,견적반영,계약·질의검토,0.139,0.2796,0.4186,시스템 통합 테스트 (RAG + LLM 오케스트레이션 + AI 에이전트),테스트,,고급·전문인력,보통,보통,RAG·LLM·에이전트 통합 E2E 테스트 20건 이상과 침해사고 분석 전문인력 참여가 명시되어 기본 수행팀 범위를 넘는 전문인력 투입이 필요하다. 수치는 테스트 건수 요구로 무제한 재작업이나 불확실한 성능목표가 아니어서 blocker는 없다.,"시스템 통합 테스트 (RAG + LLM 오케스트레이션 + AI 에이전트)
- 구성 요소 간 연동 정합성 검증
- RAG·LLM·AI 에이전트 각 구성 요소 간 연동 정합성 및 통합 동작 검증
- 오케스트레이터 기반 워크플로우 전 단계 정상 동작 확인
- 구성 요소 간 데이터 입출력 형식·오류 처리 정합성 검증
- End-to-End 테스트 수행
- 침해사고 유형별 실무 시나리오 기반 End-to-End 테스트 20건 이상 수행
※ 악성코드 감염·랜섬웨어·APT·내부자 위협·웹 공격 등 주요 침해사고 유형 포함
- 정상·비정상·경계값 케이스를 포함한 테스트 시나리오 구성
- 침해사고 분석 전문인력 참여를 통한 실무 관점 테스트 결과 검증
- 성능·기능·예외 처리 통합 테스트
- 성능·기능·예외 처리 통합 테스트 계획 수립 및 수행
- 테스트 항목별 합격 기준 정의 및 미흡 항목 개선 조치 수행
- 통합 테스트 결과 보고서 발주기관 제출"
