requirement_uid,평가문서,정답,전원예측,요구사항명,blockers,cost_basis,build_difficulty,원문길이,reasoning,본문
mfds_drug_ai_review:SFR-056,mfds_drug_ai_review,견적반영,계약·질의검토,인프라 구축,,장비·인프라,높음,2078,"GPU H100 다수, 벡터DB, 이중화 WEB/WAS/DB 등 대규모 서버·인프라 도입과 MSA 설계가 요구되어 기본 수행팀 범위를 넘는 장비·인프라 원가가 발생한다. 무제한 재작업이나 검증 불가능한 수치 목표, 공급 불확실 제품은 없어 blocker는 없다.","인프라 구축
- 의약품 허가·심사 자동화 체계를 위한 인프라 구축 일반사항
- 의약품안전나라의 기존 인프라를 고려한 신규도입 서버와 상용SW의 최적 인프라 구성방안을 분석·제시하여야 함
- (광주 국가정보자원관리원) WEB/WAS/DB 신규서버 도입 예정
- 개발/학습/운영 서버를 고려한 환경 구성
- (대구 국가정보자원관리원) AI 인프라(GPU), 벡터DB, AI 모델 등 AI 활용을 위한 PPP존 사용(6개월, 시범~운영)
- 대구 국가정보자원관리원의 초거대 AI의 환경에 대한 비용은 행정안전부 과금체계에 따라 사업비에서 처리
- 초거대 AI(대구센터 PPP존)의 AI 플랫폼 활용 범위를 포함한 아키텍처 구성방안 제시 및 환경구성
- 광주 국가정보자원관리원 신규서버 인프라 환경 구성
- 외부시스템(의약품안전나라, 의약품통합정보시스템 등)과의 연계를 고려한 환경 구축
- 신규 도입서버에 대한 WEB/WAS/DB 환경 구성 방안을 제시하고, 발주기관과 협의하여 수행
- WEB서버 Apache / WAS서버 Jboss 환경 구성
- 서비스 이중화에 대한 운영 환경 구축
- 국가정보자원관리원의 장비도입 일정을 고려하여 환경 구성
※ 시스템 오픈시기(26.10월초)에 비해 장비 도입일정이 지연되는 경우 운영을 위한 임시 환경을 구성하고, 장비 도입 후 이관(AP·DB 등) 수행
<광주센터 전산장비 신규 도입 현황>
번호 | 구분 | 구성 | 품명 | 용도 | 이중화
구성 | 수량
1 | HW | 운영
(행정망) | Linux 서버
(x86) | 내부 운영 WEB | ○ | 2식
2 | 내부 운영 WAS | ○ | 2식
3 | 내부 운영 DB | ○ | 2식
4 | 내부 연계 WAS | ○ | 2식
5 | 내부 모니터링 WAS | ○ | 2식
6 | 내부 파일 WAS | | 1식
7 | 웹에디터/편집기 WAS | ○ | 2식
8 | 운영
(외부망) | Linux 서버
(x86) | 외부 운영 WEB | ○ | 2식
9 | 외부 운영 WAS | ○ | 2식
10 | 외부 파일 WAS | | 1식
11 | 개발 | Linux 서버
(x86) | 개발 WEB | | 1식
12 | 개발 WAS | | 1식
13 | 개발 DB | | 1식
14 | SW | 운영
(행정망) | DB
(Oracle DBMS) | 내부 운영 DB | | 2식
15 | DB
(Oracle RAC) | | 2식
16 | HA용SW | | 2식
17 | DB
(Oracle DBMS) | 개발 DB | | 1식
※ 상기 전산장비 도입현황은 상황에 따라 변경될 수 있음
- 대구 국가정보자원관리원 PPP존 인프라 환경 구성
- AI 인프라 구성을 위한 환경 구축
- 클라우드 네이티브를 활용하여 AI 이용률에 따라 환경구성을 실시간으로 변경할 수 있도록 설계
- 독립적인 서비스를 위한 MSA(MicroService Architecture)의 형태로 구성 방안을 제시하고 구축하여야 함
<대구센터 PPP존 환경 구성(예시)>
번호 | 구분 | 용도 | 세부내역
1 | 운영
(행정망) | 임베딩 모델 서버 | GPU-H100-2 g2v24h2
CPU 24vCore 468GB RAM
GPU H100 80GB * 2ea
2 | 벡터DB 서버 | dbh2v128m1536
CPU 128vCore
Memory 1536G
3 | 비전 AI 서버 | GPU-H100-2 g2v48h4
CPU 48vCore 936GB RAM
GPU H100 80GB * 4ea
4 | AI 학습 서버 | GPU-H100-2 g2v48h4
CPU 48vCore 936GB RAM
GPU H100 80GB * 4ea
5 | LLM(검색, 요약, 번역, 비교, NLP 등) 서버 | GPU-H100-2 g2v96h8
CPU 96vCore 1872GB RAM
GPU H100 80GB * 8ea
6 | 개발
(행정망) | 임베딩 모델 서버 | GPU-H100-2 g2v24h2
CPU 24vCore 468GB RAM
GPU H100 80GB * 2ea
7 | 벡터DB 서버 | dbh2v128m1536
CPU 128vCore
Memory 1536G
※ 초거대 AI 환경을 고려하고, 운영 시 발생되는 문제(응답속도 저하)에 따라 환경구성이 변경될 수 있음"
ccrs_ai_platform:ECR-002,ccrs_ai_platform,계약·질의검토,견적반영,논리 아키텍처 및 서비스 구성,범위·책임,복합,높음,346,"계정계·KMS·그룹웨어 연계의 구현 범위와 허용 여부를 협의 후 결정한다는 조항은 열린 범위로 blocker이며, 모듈화·API 표준화·특정 제품 비종속 아키텍처 설계는 고급 아키텍트 인력 투입이 필요해 원가도 발생한다.","논리 아키텍처 및 서비스 구성
- [논리 아키텍처 및 서비스 구성]
- AI 플랫폼, RAG 기반 검색, 상담 어시스턴트 기능을 포함한 구조를 구성해야 한다.
- 각 구성요소는 모듈화되어 독립적 확장 및 변경이 가능해야 한다.
- 데이터 처리 구조(데이터 플랫폼, 파이프라인 등)는 선택적으로 제안할 수 있다.
- 기존 계정계, KMS, 그룹웨어 등 내부 시스템과 연계 가능한 구조를 제공하되 구현 범위 및 허용에 대한 부분은 협의 후 진행한다.
- 표준 API 기반 연계를 지원해야 하며 시스템 간 결합도를 최소화해야 한다.
- 특정 제품, 특정 아키텍처(Kubernetes, 특정 DB 등)에 종속되지 않아야 한다."
defense_intelligent_platform:SFR-035,defense_intelligent_platform,계약·질의검토,견적반영,데이터 플랫폼 – 신뢰기반 레이크하우스 구축 - 통합저장구조,"검수·성능기준, 기술실현성",복합,높음,1392,"페타바이트급 무중단 조회, Ceph/HDFS/NoSQL 다중 저장소 선택 활용, ACID·CDC 보장 레이크하우스, 실시간 모니터링 등 다수 구체적 기술목표가 동시 요구되어 사전 실현가능성 검증이 필요하며, 고급 전문인력·인프라 투입도 불가피하다.","데이터 플랫폼 – 신뢰기반 레이크하우스 구축 - 통합저장구조
◯ 분산인프라 및 가용성
- Object Storage 기반으로 한 분산 스토리지 시스템을 제공하여 페타바이트(PB) 급 이상의 확장성과 데이터 노드 장애 시에도 무중단 조회가 가능해야 함
- 데이터 노드 장애 발생 시 자동/수동 스케쥴링을 통해 복구(Rebalancing) 및 분산 리스토어기능을 제공하여 데이터 손실을 원천 차단해야 함
- 수집데이터의 특성(정형, 반정형, 비정형)과 연산 목적에 따라서 Ceph(S3), HDFS, NoSQL(HBase 등) 등 최적의 저장소를 선택적으로 활용할 수 있는 환경을 제공해야 함
◯ 계층별 저장 체계
- 데이터 가공단계별 신뢰도를 높일 수 있는 메달리온(Bronze-Silver-Gold) 아키텍처를 적용해야 함
- Bronze Zone(Raw) 에서는 원천 시스템의 데이터를 변경없이 그대로 저장해야 함
- Silver Zone (Validated)에서는 데이터 정제, 스키마 적용 및 일관성이 검증된 신뢰 데이터를 관리해야 함
- Gold Zone(Enriched)에서는 업무 목적에 맞게 가공되어 비즈니스 가치가 극대화된 학습/분석용 데이터셋이 관리가 되어야 함
◯ 멀티모달과 메타정보
- 이미지, 음성, 동영상, 로그, 관계형 DB 등 모든 형식의 데이터를 통합 저장할 수 있는 통합 저장소를 구성해야 함
- 저장된 다양한 형식의 데이터에 대해 비즈니스 및 기술 메타데이터를 수집하고 데이터 계보(Lineage)를 추적하여 신뢰기반 이력관리를 수행할 수 있어야 함
◯ 신뢰성 확보
- Delta Lake, Iceberg, Hudi 등 오픈소스 스토리지 프레임워크를 적용하여 데이터 레이크 환경에서 ACID(원자성, 일관성, 격리성, 내구성)을 보장해야 함
- 대용량 데이터의 변경에 대한 관리(CDC)가 가능한 최신 레이크하우스 기술을 적용해야 함
- 고성능 분산 병렬처리 엔진(Spark 등)을 통해 대규모 데이터셋 생성 및 쿼리 수행 시 성능 신뢰성을 확보해야 함
◯ 거버넌스 및 보안
- 데이터 레이크하우스 전 영역에 대해 사용자 및 역학별 권한 관리를 적용하여 비인가의 접근을 차단해야 함
- 데이터 수집 및 어리 과정 상태를 실시간으로 모니터링하고, 누락이나 지연 발생시 즉시 감지하여 데이터 공급의 신뢰성을 유지해야 함
- 데이터 레이크하우스에 저장된 데이터는 별도의 이동없이 데이터 플랫폼, AI 플랫폼에서 즉시 조회 및 활용가능하도록 최적화된 인터페이스를 제공해야 함
◯ 계층별 카탈로그 관리
- 데이터 가공단계별로 변화하는 데이터셋에 대한 카탈로그가 관리(생성/수정/삭제)되어야 함
- 카탈로그는 자원ID, 명칭, 버전, 유형, 반입/생성정보, 원천소스, 담당자, 승인상태, 기술정보 등의 정보가 포함된 자원명세서로 생성/승인/수정/삭제가 관리되어야 함"
defense_intelligent_platform:SFR-038,defense_intelligent_platform,계약·질의검토,견적반영,AI 플랫폼 – 작업환경 - 생성형 AI코드 생성 도구 연동,"라이선스·공급, 기술실현성",복합,높음,631,"국방망 폐쇄망 내에서 상용 AI 코드 어시스턴트급 기능(자연어 코드생성, 하이퍼파라미터 추천, 다양한 프레임워크 지원)을 실제 조달·구축 가능한지 사전 확인이 필요해 라이선스·공급 및 기술실현성 blocker가 있다. 온프레미스 모델 학습·연동에 고급인력과 인프라·라이선스 비용이 복합적으로 소요된다.","AI 플랫폼 – 작업환경 - 생성형 AI코드 생성 도구 연동
- AI 코드 어시스턴트를 위하여 다음과 같은 기능을 제공해야 함
- 국방망 내에서 작동
- IDE 내 사이드바 형태의 채팅 인터페이스 기능
- 자연어 기반 코드 생성 기능
- 기존 코드 오류 분석 및 수정 제안 기능
- 하이퍼패러미터 튜닝 전략 추천 기능
- 다양한 프레임워크(PyTorch, TensorFlow 등) 지원 기능
- 코드 추천 요청 시 실시간 응답(Streaming 방식) 제공 기능
- 프로젝트/사용자 권한에 부적합한 코드 생성 방지를 위한 적절한 전처리 및 후처리 기능
- Python, R, JavaScript 등의 주요 프로그래밍 언어를 지원.
- TensorFlow, PyTorch, Keras 등의 주요 AI 프레임워크와의 호환성을 제공
- 직관적이고 사용하기 쉬운 사용자 인터페이스를 제공
- 코드 생성 도구의 사용 방법에 대한 명확한 가이드라인과 예제 제공
- 사용자가 생성된 코드를 편집 및 수정할 수 있는 기능
- 생성된 코드가 에러 없이 실행 가능한지 확인할 수 있는 기능
- 사용자에게 생성된 코드의 설명과 함께 주요 포인트를 시각적으로 표시할 수 있는 기능
- 추가적인 기능이나 모듈이 쉽게 연동될 수 있도록 확장 가능한 구조"
defense_intelligent_platform:SFR-042,defense_intelligent_platform,계약·질의검토,견적반영,AI 플랫폼 – 학습/추론 - AI모델 실험/학습/튜닝,"라이선스·공급, 검수·성능기준",복합,높음,1470,"국방망 내 외부 사전학습모델 반입 승인·조달 가능성이 불명확하고, LLM·ML/RL 템플릿 10종 이상 제공이라는 구체적 수치 목표의 사전 달성 가능성 확인이 필요해 계약·질의검토가 필요하다. MLOps/LLMOps 플랫폼 구축은 고급인력과 GPU 인프라가 요구되어 원가도 복합적으로 발생한다.","AI 플랫폼 – 학습/추론 - AI모델 실험/학습/튜닝
- 기본모델 반입
- 국방망 내에 외부에서 사전학습된 기본 모델을 반입 신청 및 승인 기능
- 외부에서(HuggingFace 등) 사전 학습된 기본 모델 반입 완료 시 등록 기능
- 기본 모델 등록 시 상세정보 입력 및 조회 기능
* HuggingFace의 모델 카드와 유사하게 모델의 기본설명, 성능, 사용법, 제약 등을 입력하는 기능
- 실험/학습/튜닝 기본 프로세스
- AI 모델 개발 및 운영을 위한 MLOps와 LLMOps의 기본기능
- UI 만으로 학습 데이터셋 선택, AI 모델 선택, 학습, 추론, 배포가 가능한 기능 제공
- 복잡한 학습 파이프라인 구성을 위한 워크플로우 컨트롤러 및 시각화 도구를 지원해야 함
- 파이프라인 스케줄링 및 모니터링 기능을 제공해야 함
- 소스 저장소와 연동하여 파이프라인 코드를 자동으로 동기화하고 관리해야 함
- 파이프라인 단계별 실행 로그 확인 및 태스크 상태 추적 기능을 제공해야 함
- 학습 자동화
- 사용자가 설정한 시간에 학습 작업을 자동으로 시작하고 종료할 수 있는 스케줄링 기능 제공
- 정기적인 모델 재학습 및 처리를 위한 배치 스케줄링 서비스를 지원해야 함
- 기본모델 선택
- 국방망 내에 반입된 사전학습 기본 모델 조회 기능
* AI 개발 플랫폼은 사전 학습된 LLM 모델과 ML/RL 알고리즘 템플릿을 합산하여 10종 이상 제공하여야 하며, 사용자는 목록 조회, 선택, 기본 파라미터 설정을 수행할 수 있어야 함
- 웹 브라우저 기반 IDE에서 개발/학습된 AI 모델 등록 신청 및 승인 기능
- 기본 모델의 조회/(상세 정보조회 및 편집)/삭제/버전관리 및 권한부여 기능
- 학습 방법 선택
- 선택된 기본모델을 학습하기 위한 하이퍼 패러미터 설정 조회/수정/버전관리 기능
* epochs, batch_size, learning ratio 등
- 기본모델 구조를 변경하기 위한 기능 설정/수정/버전관리 기능
* hidden layer 수, hidden layer 내 node 수, dropout ratio, top layer 제거 후 새로운 head 추가, output class 수 등
- 성능 평가지표 선택
- 선택된 기본모델 또는 수정된 모델에 적합한 기본 성능평가지표 조회/선택 및 시각화 기능
* 예) train loss, validation loss 등
- 기본 성능평가지표가 아닌 사용자가 작성한 새로운 성능평가지표 추가 및 시각화 기능
- 시각화는 학습별, epoch별, 성능지표 값을 그래프로 보여주고, 해당 내용을 log file로 관리하는 기능
- 학습 작업의 진행 상태를 실시간으로 모니터링하고, 학습 로그를 기록하여 제공
- 학습 작업 중 발생하는 오류를 자동으로 감지하고, 알림을 통해 사용자에게 전달하며, 자동 복구 절차 제공
- 학습 모니터링 방법 선택
- 프로젝트별, 학습별 학습이 완료된 모델의 버전, 성능지표 값, 학습시간, 시각화결과 등을 저장 및 조회하는 기능"
defense_intelligent_platform:SFR-051,defense_intelligent_platform,계약·질의검토,견적반영,AI플랫폼 – 플레이그라운드,"범위·책임, 기술실현성",복합,높음,1253,"강화학습 모델은 발주사와 협의될 시뮬레이터 연동 방법을 제안사가 제시해야 하는 열린 범위이며, 시뮬레이터가 특정되지 않아 연계 범위·기술실현성을 사전 확인해야 한다. 또한 LLM/VLM/이미지/시계열/음성 등 다중 모델 유형별 실시간 추론·성능시각화(GPU 메모리 등)는 고급인력과 GPU 인프라가 필요해 원가도 복합적으로 발생한다.","AI플랫폼 – 플레이그라운드
- 플레이그라운드 기능 정의
- 사용자가 코드 및 인프라 설정 없이 브라우저에서 바로 AI 모델을 테스트할 수 있는 기능
- 플레이그라운드 일반
- 공유모델 저장소에 등록된 모델을 권한에 따라 조회 및 선택할 수 있는 기능
- 모델의 패러미터를 실시간 조정할 수 있는 기능
* 예, Temperauture, Top-p, Max Tokens 등
- AI 모델 추론을 수행함에 따라 소비되는 예상 크레딧 및 수행 후 소비량 표시 기능
- 개별 추론 결과 및 전체 데이터셋에 대한 성능지표 시각화 기능
* 추론 지연, 처리량, GPU 메모리 사용량 등
- 모든 추론 요청/결과/패러미터를 세션 단위로 저장 이력 조회/재실행/비교하는 기능
- UI에서 실행한 추론을 python/curl 코드로 자동 변환하여 API 코드 자동생성 기능
- LLM/VLM기반 AI 모델
- LLM의 경우 응답토큰이 생성되는 즉시 화면에 표시되는 스트리밍 응답 기능
- 대화 이력을 세션 단위로 저장하고 멀티턴 및 재불러오기 기능
- 긴 응답 중간에 중단버튼으로 생성을 중지시키는 기능
- VLM(Vision Lanaguage Model)을 선택하면 이미지 업로드가 가능해야 하고 업로드된 파일은 임시 저장소에 저장되었다가 특정 시간이 지나면 자동 삭제되는 기능
- 생성형 모델
- 프롬프트 입력 기능 (텍스트 프롬프트, 참조이미지 등)
- 추론 결과 조회 기능 (동시 생성 이미지 수, seed 고정 등)
- 패러미터 조정 (Step, seed, 해상도 등)
- 결과 이미지 다운로드
- 이미지 기반 AI 모델
- 이미지 업로드 기능
- 추론 결과 조회 기능 (BB 오버레이, 클래스 추론 신뢰도)
- 클래스 필터링, 신뢰도 임계값 조정 기능
- 결과 이미지 다운로드
- 시계열 데이터 AI 모델
- 시계열 데이터 업로드, 컬럼매핑, 시간범위 선택 기능
- 추론 결과 조회 기능 (신뢰구간 표시, 이상치 표시)
- 패러미터 조정(예측기간 설정, 이상탐지 임계값 등)
- 결과 저장 (CSV 다운로드, 차트 이미지 저장 등)
- 음성(Audio) AI 모델
- 오디오 파일 업로드 기능
- 추론 결과 조회 기능 (텍스트 스크립트, 타임 스탬프 싱크, 화자 레이블 구분 등)
- 패러미터 조정(오디오 파형 표시, 재생위치 싱크, 구간선택 기능, 언어선택 등)
- 결과 저장 (추론 결과 등)
- 강화학습 AI 모델
- 발주사와 협의된 시뮬레이터와 연동하여 초기환경 설정 후 학습된 강화학습 모델로 추론을 수행하는 적절한 방법을 제시해야 함"
defense_intelligent_platform:SFR-062,defense_intelligent_platform,계약·질의검토,견적반영,클라우드 플랫폼 -서비스 인프라 관리,기술실현성,고급·전문인력,높음,892,"멀티 IaaS·GPU MIG 프로비저닝용 전용 Provider 플러그인 개발과 기존 운용 중인 네트워크 장비와의 자동 연동은 대상 장비가 특정되지 않아 기술 실현 가능성을 사전 확인해야 하는 blocker이며, 고급 클라우드·인프라 전문인력 투입이 필요한 원가 사항이다.","클라우드 플랫폼 -서비스 인프라 관리
◯ 멀티 IaaS 플랫폼 관리 제공
- 플랫폼별 구성 정보 동기화 제공(수동, 자동)
- 멀티 플랫폼 대상 인프라 통합 관리 제공
- CPU, GPU, Memory, Disk 등 가상 리소스 관리 제공
◯ IaC 기반 리소스 프로비져닝 기능 제공
- 특정 상용 IaC 엔진에 종속되지 않도록 표준 HCL 또는 YAML.기반 정의서 제공
- 사용자의 신청 정보 기반으로 IaC 코드 동적 생성
- VM에 대한 스펙별 가용 자원을 고려한 프로비저닝 지원
- IaC 코드를 기반으로 가상 자원 리소스 프로비져닝 제공
- GPU 인프라를 정의하고 생성할 수 있도록 전용 Provider 플러그인 제공
- MIG 프로파일(GPU 분할), 오토스케일링 임계치 등 복잡한 설정 제공
- 인스턴스 타입별(CPU Only, GPU Pass Through, GPU MIG) 프로비저닝 지원
- OS 이미지 내 포함된 Node Exporter와 DCGM Exporter를 통해 인스턴스 생성 시, 자동으로 성능 모니터링 정보 제공
- 인스턴스 스냅샷을 이용한 인스턴스 복제 제공
- 프로비져닝 단계 별 상태를 표시
- 프로비져닝 실패 시 상세 에러 코드를 반환하여 운영자에게 제공
- 리소스 생성, 삭제, 상태 변경(Start/Stop) 등 라이프사이클 관리 제공
◯ 네트워크 리소스 관리
- VPC, Subnet, 보안그룹, 로드밸런서 등 네트워크 관련 리소스 관리 제공
- 네트워크 리소스 설정 정보 관리 제공
- 클라우드(VM) 기반 가상 네트워크 생성 시 현재 운용 중인 네트워크 장비의 네트워크 설정을 자동으로 프로비저닝 및 연동할 수 있는 기능을 제공
◯ 스토리지 리소스 관리
- 오브젝트 및 파일 스토리지 리소스 관리 제공
- 스토리지 리소스 설정 정보 관리 제공"
defense_intelligent_platform:SFR-063,defense_intelligent_platform,계약·질의검토,견적반영,클라우드 플랫폼 – 인프라관리 - 모니터링,"기술실현성, 공급자종속",복합,높음,1112,"GPU 메모리/코어 동적 분할(가상화), 이기종 GPU 할당, 특정 GPU UUID 지정 스케줄링 등은 특정 벤더(NVIDIA MIG 등) 하드웨어·소프트웨어 기능에 의존해 기술실현성과 공급자종속 확인이 필요하다. 실시간 GPU 심층 모니터링과 HPA 연동 구현에는 고급 인프라 인력과 GPU 장비·라이선스가 추가로 요구된다.","클라우드 플랫폼 – 인프라관리 - 모니터링
◯ (사용 현황 대시보드) 운영중인 IaaS 플랫폼의 사용 현황 및 통계 대시보드 제공
- VM별 GPU, CPU, 스토리지 등 주요 자원 사용현황 확인
- 프로젝트 진행률 확인
◯ (실시간 모니터링) GPU 사용률/성능 실시간 모니터링 및 가시화
- 리소스별 CPU, Memory, GPU Utilization(%), Disk I/O 등 기본 리소스 사용량을 시계열 차트로 시각화 제공
- GPU 온도(Temp), 전력 소모량(Power Draw), SM Clock, NVLink 대역폭 등 하드웨어 심층 정보를 수집하여 표시
◯ 노드/클러스터 상태 모니터링
- 전체 물리 노드의 상태(Active/Maintenance/Drain/Down)와 랙(Rack) 단위 구성 현황을 리스트 및 요약 카드로 제공
- 수백 대 노드의 부하 상태(Load Average, GPU Util)를 색상(Green-Red)으로 표현한 히트맵(Heatmap)을 제공하여 병목 지점을 식별
◯ Job 단위 실행 상태 모니터링
- K8s Pod의 ID, 제출자, 상태(Pending/Running/Completed/Failed), 실행 노드, 경과 시간을 조회
◯ 이벤트/알람 시각화 및 이력
- 자원 생성/삭제, 오토스케일링 트리거, 장애 발생 등 시스템에서 발생한 주요 이벤트를 타임라인 형태로 제공
- 사용자가 직접 관심 자원에 대해 CPU/GPU 사용률 임계치 및 알람 설정 관리 제공
◯ 사용자/운영자별 모니터링 뷰 분리
- 사용자는 '내 프로젝트 자원'의 성능과 비용을, 운영자는 '전체 인프라'의 건강 상태(Health)와 효율성을 보도록 대시보드 분리 제공
◯ GPU 모니터링
- GPU 메모리 및 코어의 동적 분할(가상화) 기능을 통해 자원 효율성을 극대화해야 함
- 멀티노드/멀티GPU 및 이기종 GPU 할당 기능을 제공하여 다양한 연산 환경을 지원해야 함
- 특정 GPU 모델이나 UUID를 지정하여 워크로드를 배치할 수 있는 스케줄링 기능을 지원해야 함
- 프로젝트 성격에 따른 GPU 할당 정책 관리 및 노드별 상세 상태 조회 기능을 제공해야 함
- HPA(Horizontal Pod Autoscaler) 기반의 오토스케일링 기능을 지원해야 함"
defense_intelligent_platform:TER-008,defense_intelligent_platform,계약·질의검토,견적반영,실증 프로젝트,"검수·성능기준, 범위·책임",복합,높음,649,"데이터 처리속도, 추론지연, 자원효율 등 정량적 기술지표 입증이 요구되어 달성가능성 사전 확인이 필요하고, 과제별 임무정의부터 데이터구축·라벨링·모델개발·서비스제공까지 범위가 매우 포괄적이라 사전 협의가 필요하다. 국방 도메인 데이터 특성상 고급 AI인력과 데이터 구축 비용이 복합적으로 소요된다.","실증 프로젝트
- 국방 데이터 기반 실증 프로젝트 추진
- (실전적 검증) 국방 데이터 및 파이프라인을 활용하여, 실제 군 업무 환경과 유사한 시나리오 기반의 실증 프로젝트 수행
- (기능/성능 검증) 데이터 처리 속도, 모델 추론 지연 시간, 자원 할당 효율성 등 플랫폼의 기술적 지표를 정량적으로 입증
- 과제별 데이터 구축(생성, 획득, 수집)을 위한 구체 방안 수립
- 과제별 임무정의, 구축공정(데이터 수집/생성, 라벨링, 학습 등), 학습모델 구축계획 상세화
- 과제에 따라 필요한 데이터 수집/생성 및 연동을 통한 원시데이터 구축
- 구축 원시 데이터를 이용한 가공 및 라벨링 수행
- 각 과제에 적합한 AI 모델, 빅데이터 분석 알고리즘 제시 및 학습 또는 개발
- 성과 평가 및 국방 지능형 플랫폼을 이용한 서비스 제공과제별 데이터 구축(생성, 획득, 수집)을 위한 구체 방안 수립
- 과제별 임무정의, 구축공정(데이터 수집/생성, 라벨링, 학습 등), 학습모델 구축계획 상세화
- 과제에 따라 필요한 데이터 수집/생성 및 연동을 통한 원시데이터 구축
- 구축 원시 데이터를 이용한 가공 및 라벨링 수행
- 각 과제에 적합한 AI 모델, 빅데이터 분석 알고리즘 제시 및 학습 또는 개발
- 성과 평가 및 국방 지능형 플랫폼을 이용한 서비스 제공"
genai_incident_response:INR-001,genai_incident_response,계약·질의검토,견적반영,외부 시스템 연동 – 분석 도구 연동 및 결과 통합,"기술실현성, 범위·책임",복합,높음,411,"폐쇄망 내 완전 독립 오프라인 실행은 RAG·외부 API 연동 구조에서 기술실현성을 사전 확인해야 하는 blocker이며, 악성코드분석·포렌식 등 다양한 외부 도구의 연동 대상·API 규격이 구체화되지 않아 범위 확정이 필요하다. 확정 시 RAG·벡터DB·sLLM 연동에 고급인력과 인프라 원가가 추가로 발생할 것으로 예상된다.","외부 시스템 연동 – 분석 도구 연동 및 결과 통합
- RAG 파이프라인 및 외부 도구 연동 구현
- 침해대응 지식베이스(TIMS·TI 피드 등) 벡터 DB 구축 및 RAG 파이프라인 구현
- 악성코드 분석·로그분석·포렌식·OpenSearch 등 외부 분석 도구 API/MCP 표준 인터페이스 연동
- 연동 도구 목록·API 규격·데이터 입출력 형식 문서화
- 연동 결과 수신 및 통합
- 외부 시스템·분석 도구 수신 결과(구조화·비구조화 포함) 전처리·정규화 파이프라인 구현
- 연동 결과를 오케스트레이터 라우팅 컨텍스트 또는 특화 모델(sLLM) 입력으로 활용 가능하도록 구현
- 중추모델 컨텍스트로 결과 통합
- 연동 안정성 확보
- 연동 장애 시 오류 처리·재시도 메커니즘 구현
- 폐쇄망 환경 내 오프라인 완전 독립 실행 지원"
genai_incident_response:SFR-014,genai_incident_response,계약·질의검토,견적반영,분석 보고서 생성 지원 에이전트,"라이선스·공급, 공급자종속",복합,높음,430,120B 이상 파운데이션 모델과 별도 sLLM 전문가 모델의 실제 조달·라이선스 가능성이 불확실하고 특정 규격이 공급자를 제한할 수 있어 사전 확인이 필요하다. 확인 후에도 고급 전문인력과 모델 라이선스 비용이 추가로 소요된다.,"분석 보고서 생성 지원 에이전트
- 보고서 유형별 템플릿 관리
- 침해사고 분석보고서·악성코드 분석보고서·위협 인텔리전스 보고서 등
KISA 표준 포맷 기반 보고서 템플릿 구성 및 관리 기능 구현
- 타 에이전트 분석 결과 자동 취합
- 악성코드 분석·로그 분석·디지털포렌식·위협 인텔리전스 에이전트 결과
자동 수집 및 보고서 항목별 매핑 기능 구현
- 취합된 분석 결과 정규화 및 보고서 입력 형식 변환 파이프라인 구현
- 보고서 초안 자동 생성
- 취합된 분석 결과 기반 보고서 유형별 초안 자동 생성 기능 구현
- 파운데이션 모델(120B↑) 및 보고서 생성 전문가 모델(sLLM) 연동을 통한 자연어 서술 생성 기능 구현
- 생성 결과 MD 형식 및 다국어 출력 지원
- 입출력 인터페이스 구현
- 웹 UI 기반 보고서 유형 선택·생성 요청·결과 조회 기능 구현"
