document_id,requirement_uid,requirement_id,reason,source_file,source_location,original_checked,id_match,name_match,body_complete,table_structure_ok,review_note,reviewer,reviewed_at
incheon_airport_digital_work,incheon_airport_digital_work:PSR-006,PSR-006,document_last,인천공항_AI 디지털워크 전환 사업.md,markdown_line:1141,,,,,,,,
incheon_airport_digital_work,incheon_airport_digital_work:ECR-001,ECR-001,document_longest,인천공항_AI 디지털워크 전환 사업.md,markdown_line:690,,,,,,,,
kac_ai_work_platform,kac_ai_work_platform:CUR-001,CUR-001,document_first,한국공항공사_KAC AI 업무혁신 플랫폼 구축 용역.md,markdown_line:578,,,,,,,,
kac_ai_work_platform,kac_ai_work_platform:ECR-006,ECR-006,document_middle,한국공항공사_KAC AI 업무혁신 플랫폼 구축 용역.md,markdown_line:928,,,,,,,,
kac_ai_work_platform,kac_ai_work_platform:PSR-007,PSR-007,document_last,한국공항공사_KAC AI 업무혁신 플랫폼 구축 용역.md,markdown_line:1265,,,,,,,,
kac_ai_work_platform,kac_ai_work_platform:GW-004,GW-004,document_longest,한국공항공사_KAC AI 업무혁신 플랫폼 구축 용역.md,markdown_line:717,,,,,,,,
kangwon_land_genai,kangwon_land_genai:ECR-001,ECR-001,document_first,강원랜드_생성형 AI 및 응용서비스 구축.md,markdown_line:309,,,,,,,,
kangwon_land_genai,kangwon_land_genai:PER-004,PER-004,document_middle,강원랜드_생성형 AI 및 응용서비스 구축.md,markdown_line:548,,,,,,,,
kangwon_land_genai,kangwon_land_genai:PSR-005,PSR-005,document_last,강원랜드_생성형 AI 및 응용서비스 구축.md,markdown_line:799,,,,,,,,
kangwon_land_genai,kangwon_land_genai:SFR-004,SFR-004,document_longest,강원랜드_생성형 AI 및 응용서비스 구축.md,markdown_line:365,,,,,,,,
kexim_ai_platform,kexim_ai_platform:SER-001,SER-001,document_first,붙임2. 제안요청서(AI 플랫폼(KEXIM AI) 구축)_F.md,markdown_line:301,,,,,,,,
kexim_ai_platform,kexim_ai_platform:INR-012,INR-012,document_middle,붙임2. 제안요청서(AI 플랫폼(KEXIM AI) 구축)_F.md,markdown_line:1046,,,,,,,,
kexim_ai_platform,kexim_ai_platform:COR-008,COR-008,document_last,붙임2. 제안요청서(AI 플랫폼(KEXIM AI) 구축)_F.md,markdown_line:1827,,,,,,,,
kexim_ai_platform,kexim_ai_platform:INR-DTL-005,INR-DTL-005,document_longest,붙임2. 제안요청서(AI 플랫폼(KEXIM AI) 구축)_F.md,markdown_line:1142,,,,,,,,
koen_ai_infrastructure,koen_ai_infrastructure:CON-001,CON-001,document_first,남동발전_남동아이 인프라 증설 및 AI 연계표준 개발 용역.md,markdown_line:360,,,,,,,,
koen_ai_infrastructure,koen_ai_infrastructure:QUR-003,QUR-003,document_middle,남동발전_남동아이 인프라 증설 및 AI 연계표준 개발 용역.md,markdown_line:772,,,,,,,,
koen_ai_infrastructure,koen_ai_infrastructure:PSR-010,PSR-010,document_last,남동발전_남동아이 인프라 증설 및 AI 연계표준 개발 용역.md,markdown_line:1180,,,,,,,,
koen_ai_infrastructure,koen_ai_infrastructure:PSR-07,PSR-07,document_longest,남동발전_남동아이 인프라 증설 및 AI 연계표준 개발 용역.md,markdown_line:1156,,,,,,,,
korail_genai_isp_ismp,korail_genai_isp_ismp:CSR-001,CSR-001,document_first,한국철도공사_생성형 인공지능 시스템 구축 ISP·ISMP.md,markdown_line:572,,,,,,,,
korail_genai_isp_ismp,korail_genai_isp_ismp:SER-003,SER-003,document_middle,한국철도공사_생성형 인공지능 시스템 구축 ISP·ISMP.md,markdown_line:822,,,,,,,,
korail_genai_isp_ismp,korail_genai_isp_ismp:PSR-002,PSR-002,document_last,한국철도공사_생성형 인공지능 시스템 구축 ISP·ISMP.md,markdown_line:1113,,,,,,,,
korail_genai_isp_ismp,korail_genai_isp_ismp:SER-003,SER-003,document_longest,한국철도공사_생성형 인공지능 시스템 구축 ISP·ISMP.md,markdown_line:822,,,,,,,,
mfds_drug_ai_review,mfds_drug_ai_review:SFR-001,SFR-001,document_first,식약처_의약품 AI 심사 및 산업지원 체계 구축.md,markdown_line:1367,,,,,,,,
mfds_drug_ai_review,mfds_drug_ai_review:PER-009,PER-009,document_middle,식약처_의약품 AI 심사 및 산업지원 체계 구축.md,markdown_line:2264,,,,,,,,
mfds_drug_ai_review,mfds_drug_ai_review:PSR-015,PSR-015,document_last,식약처_의약품 AI 심사 및 산업지원 체계 구축.md,markdown_line:3070,,,,,,,,
mfds_drug_ai_review,mfds_drug_ai_review:SFR-056,SFR-056,document_longest,식약처_의약품 AI 심사 및 산업지원 체계 구축.md,markdown_line:1847,,,,,,,,
